movie,genre,synopsis,year,rate,duration,votes,popularity
Divided We Fall,Comedy|Drama|War,"In Nazi occupied Czechoslovakia, a childless couple agree to hide a Jewish friend at great personal risk of discovery and execution.",2000,7.8,117,4281,
Equilibrium,Action|Drama|Sci-Fi,"In a fascist future where all forms of feeling are illegal, a man in charge of enforcing the law rises to overthrow the system.",2002,7.5,107,267971,1688.0
Water,Drama|Romance,"The film examines the plight of a group of widows forced into poverty at a temple in the holy city of Varanasi. It focuses on a relationship between one of the widows, who wants to escape the social restrictions imposed on widows, and a man who is from the highest caste and a follower of Mahatma Gandhi.",2005,7.8,117,12821,
Ocean's Eleven,Crime|Thriller,Danny Ocean and his eleven accomplices plan to rob three Las Vegas casinos simultaneously.,2001,7.8,116,415669,667.0
Serendipity,Comedy|Romance,"A couple reunite years after the night they first met, fell in love, and separated, convinced that one day they'd end up together.",2001,6.9,90,88311,1770.0
Chocolat,Drama|Romance,A woman and her daughter open a chocolate shop in a small French village that shakes up the rigid morality of the community.,2000,7.3,121,153911,2047.0
Harry Potter and the Sorcerer's Stone,Adventure|Family|Fantasy,"Rescued from the outrageous neglect of his aunt and uncle, a young boy with a great destiny proves his worth while attending Hogwarts School of Witchcraft and Wizardry.",2001,7.5,152,469660,117.0
Bully,Biography|Crime|Drama,"A pack of naïve teenagers conspire to murder a mutual friend, whose aggressive demeanor has proved too much.",2001,7.0,108,30016,1152.0
The Affair of the Necklace,Drama|Historyy|Romance,"In pre-Revolutionary France, a young aristocratic woman left penniless by the political unrest in the country, must avenge her family's fall from grace by scheming to steal a priceless necklace.",2001,6.1,118,4512,
The Matrix Revolutions,Action|Sci-Fi,The human city of Zion defends itself against the massive invasion of the machines as Neo fights to end the war at another front while also opposing the rogue Agent Smith.,2003,6.7,129,374138,1548.0
The Man Who Wasn't There,Crime|Drama,"A laconic, chain-smoking barber blackmails his wife's boss and lover for money to invest in dry cleaning, but his plan goes terribly wrong.",2001,7.6,116,88225,3939.0
Bridget Jones's Diary,Comedy|Drama|Romance,A British woman is determined to improve herself while she looks for love in a year in which she keeps a personal diary.,2001,6.7,97,180844,848.0
Wet Hot American Summer,Comedy|Romance,"Set on the last day of camp, in the hot summer of 1981, a group of counselors try to complete their unfinished business before the day ends.",2001,6.7,97,42097,1934.0
Zus & zo,Comedy|Fantasy|Romance,"Zus & Zo shows what three sisters are willing to do to stop their would-be sister-in-law from coming into possession of Para’so, their beloved family summer home on the Portuguese coast.",2001,6.4,106,1467,
Spirited Away,Animation|Adventure|Family,"During her family's move to the suburbs, a sullen 10-year-old girl wanders into a world ruled by gods, witches, and spirits, and where humans are changed into beasts.",2001,8.6,125,445337,494.0
Y Tu Mam‡ TambiЋn,Adventure|Comedy|Drama,"In Mexico, two teenage boys and an attractive older woman embark on a road trip and learn a thing or two about life, friendship, sex, and each other.",2001,7.7,106,94364,1236.0
Thir13en Ghosts,Horror,"When Cyrus Kriticos, a very rich collector of unique things dies, he leaves it all to his nephew and his family. All including his house, his fortune, and his malicious collection of ghosts!",2001,5.5,91,66992,2409.0
Amores Perros,Drama|Thriller,"A horrific car accident connects three stories, each involving characters dealing with loss, regret, and life's harsh realities, all in the name of love.",2000,8.1,154,180554,2742.0
The Count of Monte Cristo,Action|Adventure|Drama,"A young man, falsely imprisoned by his jealous ""friend,"" escapes and uses a hidden treasure to exact his revenge.",2002,7.7,131,107817,1244.0
Die Another Day,Action|Adventure|Thriller,James Bond is sent to investigate the connection between a North Korean terrorist and a diamond mogul who is funding the development of an international space weapon.,2002,6.1,133,173432,720.0
Donnie Darko,Drama|Sci-Fi|Thriller,"A troubled teenager is plagued by visions of a man in a large rabbit suit who manipulates him to commit a series of crimes, after he narrowly escapes a bizarre accident.",2001,8.1,113,603429,375.0
Before Night Falls,Biography|Drama|Romance,"Episodic look at the life of Cuban poet and novelist, Reinaldo Arenas (1943-1990), from his childhood in Oriente province to his death in New York City. He joins Castro's rebels. By 1964, ... See full summary И",2000,7.3,133,21219,
In the Bedroom,Crime|Drama,A New England couple's college-aged son dates an older woman who has two small children and an unwelcome ex-husband.,2001,7.5,130,32934,3341.0
The Princess Diaries,Comedy|Family|Romance,"Mia Thermopolis has just found out that she is the heir apparent to the throne of Genovia. With her friends Lilly and Michael Moscovitz in tow, she tries to navigate through the rest of her 16th year.",2001,6.2,111,98072,976.0
Super Troopers,Comedy|Crime|Mystery,"Five Vermont state troopers, avid pranksters with a knack for screwing up, try to save their jobs and out-do the local police department by solving a crime.",2001,7.1,100,77973,1089.0
Ali,Biography|Drama|Sport,"A biography of sports legend Muhammad Ali, focusing on his triumphs and controversies between 1964 and 1974.",2001,6.8,157,81145,3557.0
Billy Elliot,Drama|Music|Romance,A talented young boy becomes torn between his unexpected love of dance and the disintegration of his family.,2000,7.7,110,101307,2802.0
Legally Blonde,Comedy|Romance,"When a blonde sorority queen is dumped by her boyfriend, she decides to follow him to law school to get him back and, once there, learns she has more legal savvy than she ever imagined.",2001,6.2,96,137023,1326.0
Unfaithful,Drama|Thriller,A New York suburban couple's marriage goes dangerously awry when the wife indulges in an adulterous fling.,2002,6.7,124,64912,1632.0
How to Lose a Guy in 10 Days,Comedy|Romance,"Benjamin Barry is an advertising executive and ladies' man who, to win a big campaign, bets that he can make a woman fall in love with him in 10 days. Andie Anderson covers the ""How To"" beat for ""Composure"" magazine and is assigned to write an article on ""How to Lose a Guy in 10 days."" They meet in a bar shortly after the bet is made.",2003,6.4,116,163275,917.0
House of 1000 Corpses,Horror,Two teenage couples traveling across the backwoods of Texas searching for urban legends of murder end up as prisoners of a bizarre and sadistic backwater family of serial killers.,2003,6.0,89,62657,2004.0
Maid in Manhattan,Comedy|Drama|Romance,"A senatorial candidate falls for a hotel maid, thinking she is a socialite when he sees her trying on a wealthy woman's dress.",2002,5.1,105,70125,2314.0
American Pie 2,Comedy,"In this sequel to the hit comedy American Pie (1999), the high school students are now in college. These close friends decide to meet up at the beach house for some fun.",2001,6.4,108,205011,1832.0
The Pianist,Biography|Drama|War,A Polish Jewish musician struggles to survive the destruction of the Warsaw ghetto of World War II.,2002,8.5,150,523908,617.0
Reign of Fire,Action|Adventure|Fantasy,"A brood of fire-breathing dragons emerges from the earth and begins setting everything ablaze, establishing dominance over the planet.",2002,6.2,101,110053,2072.0
Star Trek: Nemesis,Action|Adventure|Sci-Fi,"The Enterprise is diverted to the Romulan homeworld Romulus, supposedly because they want to negotiate a peace treaty.",2002,6.4,116,60394,2260.0
Shallow Hal,Comedy|Drama|Fantasy,"A shallow man falls in love with a 300 pound woman because of her ""inner beauty"".",2001,5.9,114,111606,1919.0
Sweet Home Alabama,Comedy|Romance,"A young woman who's reinvented herself as a New York socialite must return home to Alabama to obtain a divorce from her husband, after seven years of separation.",2002,6.2,108,85921,1690.0
Road to Perdition,Crime|Drama|Thriller,Bonds of loyalty are put to the test when a hitman's son witnesses what his father does for a living.,2002,7.7,117,205911,1323.0
Scary Movie 2,Comedy,Four teens are tricked by their professor into visiting a haunted house for a school project.,2001,5.3,83,123011,2356.0
